/cmlscratch/xliu1231/anaconda3/lib/python3.7/site-packages/torch/distributed/launch.py:186: FutureWarning: The module torch.distributed.launch is deprecated
and will be removed in future. Use torchrun.
Note that --use_env is set by default in torchrun.
If your script expects `--local_rank` argument to be set, please
change it to read from `os.environ['LOCAL_RANK']` instead. See 
https://pytorch.org/docs/stable/distributed.html#launch-utility for 
further instructions

  FutureWarning,
WARNING:torch.distributed.run:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
model: vae
dataset: CelebA
batch size is 128
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.

Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
# of training samples:  50688
Epoch: [0][10/396]	Time 2.125 (2.125)	Speed 240.971 (240.971)	Loss 0.77678 (0.7768)	
Epoch: [0][20/396]	Time 0.134 (1.130)	Speed 3811.283 (453.282)	Loss 0.69868 (0.7377)	
Epoch: [0][30/396]	Time 0.169 (0.809)	Speed 3037.593 (632.715)	Loss 0.59258 (0.6893)	
Epoch: [0][40/396]	Time 0.141 (0.642)	Speed 3626.314 (797.252)	Loss 0.53528 (0.6508)	
Epoch: [0][50/396]	Time 0.179 (0.550)	Speed 2865.227 (931.750)	Loss 0.50040 (0.6207)	
Epoch: [0][60/396]	Time 0.119 (0.478)	Speed 4298.798 (1071.645)	Loss 0.46730 (0.5952)	
Epoch: [0][70/396]	Time 0.207 (0.439)	Speed 2473.427 (1166.051)	Loss 0.43426 (0.5722)	
Epoch: [0][80/396]	Time 0.277 (0.419)	Speed 1845.560 (1222.306)	Loss 0.42487 (0.5538)	
Epoch: [0][90/396]	Time 0.633 (0.443)	Speed 809.128 (1156.678)	Loss 0.40961 (0.5378)	
Epoch: [0][100/396]	Time 0.424 (0.441)	Speed 1207.181 (1161.537)	Loss 0.40258 (0.5242)	
Epoch: [0][110/396]	Time 0.644 (0.459)	Speed 795.427 (1114.887)	Loss 0.38807 (0.5119)	
Epoch: [0][120/396]	Time 0.394 (0.454)	Speed 1300.167 (1128.286)	Loss 0.37951 (0.5008)	
Epoch: [0][130/396]	Time 0.617 (0.466)	Speed 830.081 (1097.945)	Loss 0.38341 (0.4918)	
Epoch: [0][140/396]	Time 0.441 (0.465)	Speed 1160.145 (1102.166)	Loss 0.36636 (0.4828)	
Epoch: [0][150/396]	Time 0.647 (0.477)	Speed 791.845 (1074.103)	Loss 0.36356 (0.4749)	
Epoch: [0][160/396]	Time 0.447 (0.475)	Speed 1146.611 (1078.365)	Loss 0.35566 (0.4674)	
Epoch: [0][170/396]	Time 0.629 (0.484)	Speed 814.333 (1058.183)	Loss 0.35757 (0.4610)	
Epoch: [0][180/396]	Time 0.415 (0.480)	Speed 1233.605 (1066.610)	Loss 0.34607 (0.4546)	
Epoch: [0][190/396]	Time 0.542 (0.483)	Speed 944.374 (1059.393)	Loss 0.34235 (0.4487)	
Epoch: [0][200/396]	Time 0.452 (0.482)	Speed 1133.335 (1062.860)	Loss 0.32062 (0.4423)	
Epoch: [0][210/396]	Time 0.599 (0.487)	Speed 854.851 (1050.686)	Loss 0.31021 (0.4360)	
Epoch: [0][220/396]	Time 0.415 (0.484)	Speed 1234.646 (1057.850)	Loss 0.29982 (0.4298)	
Epoch: [0][230/396]	Time 0.567 (0.488)	Speed 902.845 (1050.012)	Loss 0.29814 (0.4241)	
Epoch: [0][240/396]	Time 0.404 (0.484)	Speed 1268.353 (1057.598)	Loss 0.28301 (0.4182)	
Epoch: [0][250/396]	Time 0.586 (0.488)	Speed 873.151 (1048.736)	Loss 0.27519 (0.4125)	
Epoch: [0][260/396]	Time 0.407 (0.485)	Speed 1259.004 (1055.517)	Loss 0.26491 (0.4068)	
Epoch: [0][270/396]	Time 0.620 (0.490)	Speed 826.185 (1044.775)	Loss 0.25176 (0.4011)	
Epoch: [0][280/396]	Time 0.444 (0.488)	Speed 1153.604 (1048.307)	Loss 0.25076 (0.3957)	
Epoch: [0][290/396]	Time 0.596 (0.492)	Speed 859.508 (1040.427)	Loss 0.24092 (0.3904)	
Epoch: [0][300/396]	Time 0.402 (0.489)	Speed 1272.544 (1046.791)	Loss 0.24144 (0.3854)	
Epoch: [0][310/396]	Time 0.533 (0.491)	Speed 960.490 (1043.766)	Loss 0.23575 (0.3806)	
Epoch: [0][320/396]	Time 0.415 (0.488)	Speed 1233.314 (1048.803)	Loss 0.23099 (0.3759)	
Epoch: [0][330/396]	Time 0.594 (0.491)	Speed 861.250 (1041.928)	Loss 0.22365 (0.3713)	
Epoch: [0][340/396]	Time 0.391 (0.488)	Speed 1308.015 (1048.199)	Loss 0.22068 (0.3668)	
Epoch: [0][350/396]	Time 0.606 (0.492)	Speed 844.757 (1041.036)	Loss 0.21618 (0.3625)	
Epoch: [0][360/396]	Time 0.417 (0.490)	Speed 1226.617 (1045.430)	Loss 0.21403 (0.3584)	
Epoch: [0][370/396]	Time 0.535 (0.491)	Speed 957.566 (1042.843)	Loss 0.21036 (0.3544)	
Epoch: [0][380/396]	Time 0.484 (0.491)	Speed 1056.881 (1043.208)	Loss 0.20667 (0.3505)	
Epoch: [0][390/396]	Time 0.524 (0.492)	Speed 977.872 (1041.424)	Loss 0.20837 (0.3469)	
[Training] Epoch:0 total_time: 193.802
Epoch: [1][10/396]	Time 0.091 (0.091)	Speed 5617.419 (5617.419)	Loss 0.20114 (0.2011)	
Epoch: [1][20/396]	Time 0.073 (0.082)	Speed 6984.316 (6226.734)	Loss 0.20056 (0.2008)	
Epoch: [1][30/396]	Time 0.060 (0.075)	Speed 8526.626 (6841.890)	Loss 0.20201 (0.2012)	
Epoch: [1][40/396]	Time 0.074 (0.075)	Speed 6938.854 (6865.876)	Loss 0.19939 (0.2008)	
Epoch: [1][50/396]	Time 0.054 (0.071)	Speed 9409.341 (7258.277)	Loss 0.20089 (0.2008)	
Epoch: [1][60/396]	Time 0.071 (0.071)	Speed 7260.460 (7258.641)	Loss 0.18726 (0.1985)	
Epoch: [1][70/396]	Time 0.058 (0.069)	Speed 8825.650 (7447.544)	Loss 0.19149 (0.1975)	
Epoch: [1][80/396]	Time 0.071 (0.069)	Speed 7203.585 (7416.149)	Loss 0.18967 (0.1966)	
Epoch: [1][90/396]	Time 0.059 (0.068)	Speed 8641.994 (7534.906)	Loss 0.18239 (0.1950)	
Epoch: [1][100/396]	Time 0.071 (0.068)	Speed 7222.336 (7502.437)	Loss 0.18908 (0.1944)	
Epoch: [1][110/396]	Time 0.054 (0.067)	Speed 9500.778 (7648.690)	Loss 0.18619 (0.1936)	
Epoch: [1][120/396]	Time 0.072 (0.067)	Speed 7154.625 (7604.926)	Loss 0.18017 (0.1925)	
Epoch: [1][130/396]	Time 0.052 (0.066)	Speed 9848.435 (7740.567)	Loss 0.18266 (0.1918)	
Epoch: [1][140/396]	Time 0.075 (0.067)	Speed 6842.413 (7668.666)	Loss 0.18365 (0.1912)	
Epoch: [1][150/396]	Time 0.052 (0.066)	Speed 9887.153 (7785.122)	Loss 0.17769 (0.1903)	
Epoch: [1][160/396]	Time 0.075 (0.066)	Speed 6841.721 (7718.602)	Loss 0.17472 (0.1893)	
Epoch: [1][170/396]	Time 0.051 (0.065)	Speed 10129.702 (7828.207)	Loss 0.17523 (0.1885)	
Epoch: [1][180/396]	Time 0.072 (0.066)	Speed 7078.175 (7782.393)	Loss 0.17405 (0.1877)	
Epoch: [1][190/396]	Time 0.058 (0.065)	Speed 8844.009 (7831.873)	Loss 0.17116 (0.1868)	
Epoch: [1][200/396]	Time 0.072 (0.066)	Speed 7111.619 (7792.413)	Loss 0.17368 (0.1862)	
Epoch: [1][210/396]	Time 0.050 (0.065)	Speed 10236.125 (7882.018)	Loss 0.17197 (0.1855)	
Epoch: [1][220/396]	Time 0.075 (0.065)	Speed 6867.245 (7829.429)	Loss 0.16688 (0.1846)	
Epoch: [1][230/396]	Time 0.053 (0.065)	Speed 9628.935 (7893.568)	Loss 0.16955 (0.1840)	
Epoch: [1][240/396]	Time 0.071 (0.065)	Speed 7207.095 (7862.364)	Loss 0.16983 (0.1834)	
Epoch: [1][250/396]	Time 0.053 (0.065)	Speed 9616.018 (7920.140)	Loss 0.16700 (0.1827)	
