/cmlscratch/xliu1231/anaconda3/lib/python3.7/site-packages/torch/distributed/launch.py:186: FutureWarning: The module torch.distributed.launch is deprecated
and will be removed in future. Use torchrun.
Note that --use_env is set by default in torchrun.
If your script expects `--local_rank` argument to be set, please
change it to read from `os.environ['LOCAL_RANK']` instead. See 
https://pytorch.org/docs/stable/distributed.html#launch-utility for 
further instructions

  FutureWarning,
WARNING:torch.distributed.run:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
model: vae
dataset: CelebA
batch size is 128
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
# of training samples:  50688
Epoch: [0][10/396]	Time 0.501 (0.501)	Speed 1021.625 (1021.625)	Loss 0.99023 (0.9902)	
Epoch: [0][20/396]	Time 0.151 (0.326)	Speed 3382.228 (1569.248)	Loss 0.91801 (0.9541)	
Epoch: [0][30/396]	Time 0.206 (0.286)	Speed 2481.386 (1788.379)	Loss 0.81257 (0.9069)	
Epoch: [0][40/396]	Time 0.174 (0.258)	Speed 2935.140 (1981.968)	Loss 0.75056 (0.8678)	
Epoch: [0][50/396]	Time 0.204 (0.247)	Speed 2515.938 (2069.826)	Loss 0.70742 (0.8358)	
Epoch: [0][60/396]	Time 0.265 (0.250)	Speed 1929.398 (2045.019)	Loss 0.66765 (0.8077)	
Epoch: [0][70/396]	Time 0.620 (0.303)	Speed 825.986 (1688.932)	Loss 0.62710 (0.7819)	
Epoch: [0][80/396]	Time 0.599 (0.340)	Speed 854.467 (1505.187)	Loss 0.60867 (0.7603)	
Epoch: [0][90/396]	Time 0.770 (0.388)	Speed 664.941 (1319.871)	Loss 0.58842 (0.7412)	
Epoch: [0][100/396]	Time 0.671 (0.416)	Speed 762.755 (1230.030)	Loss 0.57303 (0.7244)	
Epoch: [0][110/396]	Time 0.671 (0.439)	Speed 763.553 (1165.310)	Loss 0.55079 (0.7086)	
Epoch: [0][120/396]	Time 0.589 (0.452)	Speed 869.795 (1133.225)	Loss 0.53704 (0.6943)	
Epoch: [0][130/396]	Time 0.733 (0.473)	Speed 698.234 (1081.402)	Loss 0.53258 (0.6819)	
Epoch: [0][140/396]	Time 0.600 (0.482)	Speed 853.698 (1061.185)	Loss 0.50760 (0.6694)	
Epoch: [0][150/396]	Time 0.702 (0.497)	Speed 729.501 (1029.965)	Loss 0.49572 (0.6578)	
Epoch: [0][160/396]	Time 0.618 (0.505)	Speed 829.140 (1014.606)	Loss 0.48307 (0.6469)	
Epoch: [0][170/396]	Time 0.795 (0.522)	Speed 643.667 (981.339)	Loss 0.47713 (0.6369)	
Epoch: [0][180/396]	Time 0.690 (0.531)	Speed 742.050 (964.068)	Loss 0.45716 (0.6269)	
Epoch: [0][190/396]	Time 0.773 (0.544)	Speed 662.116 (941.470)	Loss 0.44439 (0.6173)	
Epoch: [0][200/396]	Time 0.653 (0.549)	Speed 784.301 (932.131)	Loss 0.41354 (0.6071)	
Epoch: [0][210/396]	Time 0.841 (0.563)	Speed 609.107 (909.171)	Loss 0.39283 (0.5969)	
Epoch: [0][220/396]	Time 0.617 (0.566)	Speed 829.661 (905.228)	Loss 0.37181 (0.5867)	
Epoch: [0][230/396]	Time 0.956 (0.583)	Speed 535.542 (878.851)	Loss 0.36325 (0.5770)	
Epoch: [0][240/396]	Time 0.618 (0.584)	Speed 827.912 (876.604)	Loss 0.34105 (0.5672)	
Epoch: [0][250/396]	Time 0.948 (0.599)	Speed 539.897 (855.268)	Loss 0.32739 (0.5576)	
Epoch: [0][260/396]	Time 0.700 (0.603)	Speed 731.255 (849.726)	Loss 0.31850 (0.5484)	
Epoch: [0][270/396]	Time 0.959 (0.616)	Speed 534.109 (831.527)	Loss 0.29753 (0.5391)	
Epoch: [0][280/396]	Time 0.757 (0.621)	Speed 676.176 (824.759)	Loss 0.29395 (0.5303)	
Epoch: [0][290/396]	Time 1.049 (0.636)	Speed 487.957 (805.586)	Loss 0.28362 (0.5218)	
Epoch: [0][300/396]	Time 0.770 (0.640)	Speed 665.302 (799.963)	Loss 0.27641 (0.5136)	
Epoch: [0][310/396]	Time 1.134 (0.656)	Speed 451.311 (780.512)	Loss 0.26596 (0.5056)	
Epoch: [0][320/396]	Time 0.841 (0.662)	Speed 609.124 (773.709)	Loss 0.26709 (0.4982)	
Epoch: [0][330/396]	Time 1.142 (0.676)	Speed 448.370 (757.063)	Loss 0.25579 (0.4908)	
Epoch: [0][340/396]	Time 0.810 (0.680)	Speed 632.437 (752.701)	Loss 0.25428 (0.4839)	
Epoch: [0][350/396]	Time 1.055 (0.691)	Speed 485.371 (741.039)	Loss 0.24652 (0.4771)	
Epoch: [0][360/396]	Time 0.783 (0.693)	Speed 654.245 (738.318)	Loss 0.24421 (0.4706)	
Epoch: [0][370/396]	Time 1.208 (0.707)	Speed 423.957 (723.813)	Loss 0.24064 (0.4644)	
Epoch: [0][380/396]	Time 0.799 (0.710)	Speed 640.604 (721.347)	Loss 0.23913 (0.4585)	
Epoch: [0][390/396]	Time 1.057 (0.719)	Speed 484.555 (712.420)	Loss 0.23550 (0.4528)	
[Training] Epoch:0 total_time: 283.438
Epoch: [1][10/396]	Time 0.085 (0.085)	Speed 6044.618 (6044.618)	Loss 0.22955 (0.2295)	
Epoch: [1][20/396]	Time 0.070 (0.077)	Speed 7362.576 (6638.818)	Loss 0.22745 (0.2285)	
Epoch: [1][30/396]	Time 0.052 (0.069)	Speed 9873.901 (7452.758)	Loss 0.23408 (0.2304)	
Epoch: [1][40/396]	Time 0.070 (0.069)	Speed 7272.291 (7406.807)	Loss 0.22523 (0.2291)	
Epoch: [1][50/396]	Time 0.048 (0.065)	Speed 10575.299 (7878.932)	Loss 0.23241 (0.2297)	
Epoch: [1][60/396]	Time 0.063 (0.065)	Speed 8181.239 (7927.756)	Loss 0.21664 (0.2276)	
Epoch: [1][70/396]	Time 0.047 (0.062)	Speed 10868.756 (8246.534)	Loss 0.22104 (0.2266)	
Epoch: [1][80/396]	Time 0.064 (0.062)	Speed 7947.424 (8207.920)	Loss 0.21953 (0.2257)	
Epoch: [1][90/396]	Time 0.054 (0.061)	Speed 9457.672 (8330.227)	Loss 0.21353 (0.2244)	
Epoch: [1][100/396]	Time 0.064 (0.062)	Speed 7965.063 (8292.211)	Loss 0.22123 (0.2241)	
Epoch: [1][110/396]	Time 0.048 (0.061)	Speed 10562.082 (8457.445)	Loss 0.21898 (0.2236)	
Epoch: [1][120/396]	Time 0.062 (0.061)	Speed 8223.861 (8437.474)	Loss 0.20904 (0.2224)	
Epoch: [1][130/396]	Time 0.055 (0.060)	Speed 9345.760 (8501.027)	Loss 0.21303 (0.2217)	
Epoch: [1][140/396]	Time 0.087 (0.062)	Speed 5884.666 (8239.364)	Loss 0.21476 (0.2212)	
Epoch: [1][150/396]	Time 0.060 (0.062)	Speed 8599.449 (8262.429)	Loss 0.20804 (0.2203)	
Epoch: [1][160/396]	Time 0.061 (0.062)	Speed 8423.919 (8272.341)	Loss 0.20895 (0.2196)	
Epoch: [1][170/396]	Time 0.051 (0.061)	Speed 9948.262 (8355.137)	Loss 0.21150 (0.2191)	
Epoch: [1][180/396]	Time 0.062 (0.061)	Speed 8242.744 (8348.813)	Loss 0.20632 (0.2184)	
Epoch: [1][190/396]	Time 0.049 (0.061)	Speed 10550.143 (8441.516)	Loss 0.20468 (0.2177)	
Epoch: [1][200/396]	Time 0.067 (0.061)	Speed 7681.658 (8399.970)	Loss 0.20637 (0.2171)	
Epoch: [1][210/396]	Time 0.047 (0.060)	Speed 10838.854 (8490.950)	Loss 0.20725 (0.2166)	
Epoch: [1][220/396]	Time 0.067 (0.061)	Speed 7595.850 (8445.711)	Loss 0.19962 (0.2159)	
Epoch: [1][230/396]	Time 0.048 (0.060)	Speed 10651.022 (8522.432)	Loss 0.20283 (0.2153)	
Epoch: [1][240/396]	Time 0.067 (0.060)	Speed 7600.515 (8479.576)	Loss 0.20323 (0.2148)	
Epoch: [1][250/396]	Time 0.048 (0.060)	Speed 10758.958 (8552.049)	Loss 0.20056 (0.2142)	
Epoch: [1][260/396]	Time 0.069 (0.060)	Speed 7396.783 (8500.983)	Loss 0.20750 (0.2140)	
Epoch: [1][270/396]	Time 0.054 (0.060)	Speed 9481.122 (8533.657)	Loss 0.20303 (0.2136)	
Epoch: [1][280/396]	Time 0.062 (0.060)	Speed 8285.007 (8524.520)	Loss 0.20228 (0.2132)	
Epoch: [1][290/396]	Time 0.053 (0.060)	Speed 9613.232 (8557.940)	Loss 0.19835 (0.2127)	
Epoch: [1][300/396]	Time 0.065 (0.060)	Speed 7826.834 (8531.376)	Loss 0.19718 (0.2121)	
Epoch: [1][310/396]	Time 0.061 (0.060)	Speed 8343.384 (8525.180)	Loss 0.19488 (0.2116)	
Epoch: [1][320/396]	Time 0.051 (0.060)	Speed 9997.014 (8564.584)	Loss 0.19746 (0.2111)	
Epoch: [1][330/396]	Time 0.068 (0.060)	Speed 7546.371 (8529.709)	Loss 0.19753 (0.2107)	
Epoch: [1][340/396]	Time 0.055 (0.060)	Speed 9337.779 (8551.474)	Loss 0.19958 (0.2104)	
Epoch: [1][350/396]	Time 0.067 (0.060)	Speed 7665.032 (8523.311)	Loss 0.19733 (0.2100)	
Epoch: [1][360/396]	Time 0.050 (0.060)	Speed 10159.072 (8561.604)	Loss 0.19067 (0.2095)	
Epoch: [1][370/396]	Time 0.062 (0.060)	Speed 8291.878 (8554.084)	Loss 0.19679 (0.2091)	
Epoch: [1][380/396]	Time 0.056 (0.060)	Speed 9161.741 (8569.040)	Loss 0.19105 (0.2087)	
Epoch: [1][390/396]	Time 0.055 (0.060)	Speed 9303.663 (8586.425)	Loss 0.19143 (0.2082)	
[Training] Epoch:1 total_time: 23.550
Epoch: [2][10/396]	Time 0.088 (0.088)	Speed 5793.102 (5793.102)	Loss 0.19027 (0.1903)	
Epoch: [2][20/396]	Time 0.063 (0.076)	Speed 8140.587 (6769.097)	Loss 0.19086 (0.1906)	
Epoch: [2][30/396]	Time 0.047 (0.066)	Speed 10988.090 (7762.609)	Loss 0.19207 (0.1911)	
Epoch: [2][40/396]	Time 0.065 (0.066)	Speed 7846.750 (7783.475)	Loss 0.19203 (0.1913)	
Epoch: [2][50/396]	Time 0.045 (0.062)	Speed 11407.282 (8311.549)	Loss 0.18773 (0.1906)	
Epoch: [2][60/396]	Time 0.063 (0.062)	Speed 8116.515 (8278.395)	Loss 0.19450 (0.1912)	
Epoch: [2][70/396]	Time 0.047 (0.060)	Speed 10847.060 (8568.256)	Loss 0.18678 (0.1906)	
Epoch: [2][80/396]	Time 0.059 (0.060)	Speed 8664.676 (8580.191)	Loss 0.18236 (0.1896)	
Epoch: [2][90/396]	Time 0.046 (0.058)	Speed 11060.393 (8799.435)	Loss 0.18677 (0.1893)	
Epoch: [2][100/396]	Time 0.066 (0.059)	Speed 7776.109 (8685.140)	Loss 0.18556 (0.1889)	
Epoch: [2][110/396]	Time 0.048 (0.058)	Speed 10740.404 (8838.903)	Loss 0.19029 (0.1890)	
Epoch: [2][120/396]	Time 0.065 (0.059)	Speed 7890.760 (8751.275)	Loss 0.18698 (0.1889)	
Epoch: [2][130/396]	Time 0.055 (0.058)	Speed 9314.983 (8792.203)	Loss 0.18626 (0.1887)	
Epoch: [2][140/396]	Time 0.055 (0.058)	Speed 9346.944 (8829.635)	Loss 0.18239 (0.1882)	
Epoch: [2][150/396]	Time 0.055 (0.058)	Speed 9356.864 (8862.928)	Loss 0.19017 (0.1883)	
Epoch: [2][160/396]	Time 0.056 (0.058)	Speed 9205.680 (8883.600)	Loss 0.18498 (0.1881)	
Epoch: [2][170/396]	Time 0.056 (0.058)	Speed 9192.184 (8901.178)	Loss 0.18158 (0.1877)	
Epoch: [2][180/396]	Time 0.054 (0.057)	Speed 9480.620 (8931.505)	Loss 0.18314 (0.1875)	
Epoch: [2][190/396]	Time 0.061 (0.057)	Speed 8449.288 (8904.757)	Loss 0.18388 (0.1873)	
Epoch: [2][200/396]	Time 0.055 (0.057)	Speed 9266.312 (8922.163)	Loss 0.18329 (0.1871)	
Epoch: [2][210/396]	Time 0.062 (0.058)	Speed 8266.659 (8888.600)	Loss 0.18267 (0.1869)	
Epoch: [2][220/396]	Time 0.056 (0.058)	Speed 9072.693 (8896.806)	Loss 0.18869 (0.1870)	
Epoch: [2][230/396]	Time 0.053 (0.057)	Speed 9643.641 (8926.863)	Loss 0.18307 (0.1868)	
Epoch: [2][240/396]	Time 0.066 (0.058)	Speed 7764.918 (8871.549)	Loss 0.18601 (0.1868)	
Epoch: [2][250/396]	Time 0.056 (0.058)	Speed 9177.869 (8883.409)	Loss 0.17759 (0.1864)	
Epoch: [2][260/396]	Time 0.066 (0.058)	Speed 7799.068 (8836.158)	Loss 0.17610 (0.1860)	
Epoch: [2][270/396]	Time 0.047 (0.058)	Speed 10810.742 (8896.340)	Loss 0.17796 (0.1857)	
Epoch: [2][280/396]	Time 0.066 (0.058)	Speed 7700.019 (8847.248)	Loss 0.18483 (0.1857)	
Epoch: [2][290/396]	Time 0.050 (0.058)	Speed 10139.866 (8886.311)	Loss 0.18451 (0.1856)	
